names,genre,date_x,score
Doctor Strange in the Multiverse of Madness,Fantasy| Action| Adventure,2022,"7,4"
There Are No Saints,Action| Mystery| Thriller,2022,"5,3"
Avengers: Infinity War,Adventure| Action| Science Fiction,2018,"8,3"
Smile,Horror| Mystery| Thriller,2022,"6,8"
ˇQue Viva México!,Comedy,2023,"4,7"
Detective Knight: Independence,Action| Crime| Thriller,2023,"5,6"
Strange World,Animation| Family| Adventure| Science Fiction,2022,"6,5"
The Ten Commandments,Drama| History,1958,"7,8"
The Ten Commandments,Drama| History,1958,"7,8"
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,Action| Animation| Fantasy,2019,8
Four's a Crowd,Comedy,2022,"6,3"
Minions: The Rise of Gru,Animation| Comedy| Family,2022,"7,5"
Creed II,Drama,2018,7
Creed,Drama,2015,"7,4"
Beast,Thriller| Action| Horror| Adventure,2022,"6,8"
Fast X,Action| Crime| Thriller,2023,0
My Name Is Vendetta,Action| Crime| Thriller,2022,"6,8"
Wrath of Man,Action| Crime| Thriller,2021,"7,7"
Jeepers Creepers: Reborn,Horror| Thriller| Mystery,2022,"5,7"
Turning Red,Animation| Family| Comedy| Fantasy,2022,"7,5"
Encanto,Animation| Comedy| Family| Fantasy,2021,"7,6"
Prancer: A Christmas Tale,Family| Fantasy,2022,"5,9"
Magic Mike's Last Dance,Comedy| Drama| Romance,2023,"7,2"
Lyle; Lyle; Crocodile,Comedy| Family| Music,2022,"7,5"
The Penitent Thief,Drama,2021,"6,2"
Hacksaw Ridge,Drama| History| War,2016,"8,2"
Venus,Drama| Horror| Thriller,2022,"5,5"
The Offering,Horror,2022,"5,7"
Jujutsu Kaisen 0,Animation| Action| Fantasy,2022,"8,2"
The Batman,Crime| Mystery| Thriller,2022,"7,7"
Life in a Year,Drama| Romance,2020,"8,3"
Super Mario Brothers: Great Mission to Rescue Princess Peach,Animation| Comedy| Fantasy,1986,6
The Chronicles of Narnia: The Lion; the Witch and the Wardrobe,Adventure| Family| Fantasy,2005,"7,1"
The Exorcism of God,Horror,2022,"7,2"
Ghosts of the Ozarks,Western| Horror| Mystery,2022,"6,3"
Kompromat,Thriller| Drama,2022,"6,5"
Matadero,Drama,2022,6
Air,Drama,2023,"7,9"
Disenchanted,Comedy| Family| Fantasy,2022,7
Luck,Animation| Adventure| Comedy| Fantasy,2022,"7,9"
Bullet Train,Action| Comedy| Thriller,2022,"7,5"
Night at the Museum: Kahmunrah Rises Again,Animation| Comedy| Family| Fantasy,2022,"6,9"
Blade of the 47 Ronin,Action| Drama| Fantasy| Thriller,2022,"6,7"
Sing 2,Animation| Family,2021,8
Shark Bait,Horror| Thriller| Action| Adventure,2022,"5,9"
Shrek,Animation| Comedy| Fantasy| Adventure| Family,2001,"7,7"
Orgasm Inc: The Story of OneTaste,Documentary,2022,"6,4"
In His Shadow,Drama| Thriller| Crime,2023,"6,2"
Savage Salvation,Thriller,2022,"6,6"
Sisu,War| Action,2023,"7,4"
Tango; Tequila and Some Lies,Comedy| Romance,2023,"7,7"
Hotel Transylvania: Transformania,Animation| Comedy| Family| Fantasy| Adventure,2022,"7,1"
Operation Fortune: Ruse de Guerre,Action| Thriller| Comedy,2023,"6,7"
Kids vs. Aliens,Science Fiction| Horror| Adventure| Action,2023,6
Everything Everywhere All at Once,Action| Adventure| Science Fiction,2022,"7,9"
Glass Onion: A Knives Out Mystery,Comedy| Crime| Mystery,2022,"7,1"
Suro,Thriller| Drama,2022,"7,3"
The Lair,Horror| Action,2022,"5,9"
My Hero Academia: World Heroes' Mission,Animation| Action| Adventure| Science Fiction,2021,"7,6"
Unhappily Ever After,Comedy| Romance,2023,"8,1"
Evil Eye,Horror,2022,"6,8"
Inspector Sun and the Curse of the Black Widow,Animation| Family,2022,"6,8"
The Price We Pay,Action| Thriller| Mystery| Crime| Horror,2023,6
Lupin The 3rd vs. Cat’s Eye,Animation| Action| Adventure| Comedy,2023,6
Murder Mystery,Comedy| Mystery,2019,"6,3"
Luz Mala,Horror,2022,"4,3"
Babylon,Drama| Comedy,2023,"7,5"
The Lost City,Action| Adventure| Comedy,2022,"6,6"
The Lost City,Action| Adventure| Comedy,2022,"6,6"
Detective Knight: Rogue,Action| Crime| Thriller,2022,"6,7"
Cop Secret,Comedy| Action| Thriller,2021,"6,1"
The Quintessential Quintuplets Movie,Animation| Comedy| Romance,2022,"8,4"
Harry Potter and the Chamber of Secrets,Adventure| Fantasy,2002,"7,7"
Kill Boksoon,Action| Thriller| Crime,2023,"6,9"
Candy Land,Horror| Thriller,2023,"6,5"
Venom: Let There Be Carnage,Science Fiction| Action| Adventure,2021,"6,9"
Harry Potter and the Philosopher's Stone,Adventure| Fantasy,2001,"7,9"
On the Count of Three,Comedy| Drama,2022,"6,6"
Uncharted,Action| Adventure,2022,7
DC League of Super-Pets,Animation| Action| Family| Comedy| Science Fiction,2022,"7,4"
Moonfall,Science Fiction,2022,"6,4"
Athena,Drama,2022,"6,7"
Unicorn Wars,Action| Animation| Comedy| Fantasy| Horror| War,2022,"6,4"
Teen Wolf: The Movie,Action| Fantasy| TV Movie,2023,"7,8"
Fantastic Beasts: The Secrets of Dumbledore,Fantasy| Adventure| Family,2022,"6,8"
Cars 3,Animation| Adventure| Comedy| Family,2017,"6,9"
The Ledge,Thriller| Adventure,2022,"6,6"
The Big 4,Action| Comedy| Crime,2022,"7,1"
Interstellar,Adventure| Drama| Science Fiction,2014,"8,4"
Viking Wolf,Horror| Thriller| Mystery,2023,"5,9"
20th Century Girl,Romance| Drama,2022,"8,3"
The Soccer Football Movie,Animation| Comedy| Family,2022,"6,1"
Boston Strangler,Thriller| Drama| Crime,2023,"6,7"
Close,Drama,2023,"7,8"
Coraline,Animation| Family| Fantasy,2009,"7,8"
Luther: The Fallen Sun,Thriller| Crime| Action| Mystery,2023,"6,9"
Harry Potter and the Goblet of Fire,Adventure| Fantasy| Family,2005,"7,8"
Piggy,Thriller| Drama| Horror,2022,"6,6"
Orphan: First Kill,Horror| Thriller,2022,"6,8"
Fullmetal Alchemist: The Final Alchemy,Action| Adventure| Fantasy,2022,"6,3"
Malcriados,Comedy,2023,"7,8"
Polar,Action| Adventure| Thriller,2022,"6,6"
Jesus,Drama| History,1979,"8,3"
Harry Potter and the Half-Blood Prince,Adventure| Fantasy,2009,"7,7"
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,Animation,2022,"6,1"
Noise,Drama| Thriller,2023,"4,9"
The Infernal Machine,Thriller| Mystery,2022,"6,6"
Abandoned,Horror| Mystery| Thriller,2022,"6,3"
The Ten Commandments: The Movie,Drama,2016,"7,2"
The Avengers,Science Fiction| Action| Adventure,2012,"7,7"
The Avengers,Science Fiction| Action| Adventure,2012,"7,7"
Still Time,Romance| Comedy| Drama,2022,"6,5"
Exodus: Gods and Kings,Adventure| Drama| Action,2014,"5,8"
Wolf Hound,War| Action,2022,"6,6"
The Little Mermaid,Adventure| Family| Fantasy| Romance,2023,0
F9,Action| Adventure| Crime| Thriller,2021,"7,2"
The Wolf of Wall Street,Crime| Drama| Comedy,2014,8
Pinball: The Man Who Saved the Game,Comedy| Drama| History| Romance,2023,"7,8"
Tad; the Lost Explorer and the Emerald Tablet,Animation| Adventure| Comedy| Family| Fantasy,2022,"7,6"
Brothers,Drama| Thriller| War,2010,"7,3"
Brothers,Drama| Thriller| War,2010,"7,3"
Harry Potter and the Prisoner of Azkaban,Adventure| Fantasy,2004,8
Out of the Blue,Thriller| Romance,2022,"4,6"
RRR,Action| Drama,2022,"7,8"
Broker,Drama| Comedy,2023,"7,2"
The Black Phone,Horror| Thriller,2022,"7,8"
Tom and Jerry Snowman's Land,Family| Comedy| Animation| Adventure,2022,"6,9"
Transformers: Rise of the Beasts,Action| Adventure| Science Fiction,2023,0
Avengers: Endgame,Adventure| Science Fiction| Action,2019,"8,3"
Spider-Man: Across the Spider-Verse,Animation| Action| Adventure| Science Fiction,2023,0
MexZombies,Horror| Action| Comedy,2022,"7,1"
Harry Potter and the Order of the Phoenix,Adventure| Fantasy| Mystery,2007,"7,7"
The Northman,Action| Adventure| Fantasy,2022,"7,1"
I Believe,Family| Drama,2017,7
Blue's Big City Adventure,Family| Adventure| Music| Animation,2022,"7,4"
After Ever Happy,Romance| Drama,2022,"6,9"
On the Line,Thriller,2022,"6,2"
Ben-Hur,Action| Drama| History,1960,"7,9"
Ben-Hur,Action| Drama| History,1960,"7,9"
The Next 365 Days,Romance| Drama,2022,"6,5"
Hocus Pocus 2,Fantasy| Comedy| Family,2022,"7,4"
Morbius,Action| Science Fiction| Fantasy,2022,"6,2"
Cars 2,Animation| Family| Adventure| Comedy,2011,"6,1"
Tangled,Animation| Family,2011,"7,6"
The Minute You Wake Up Dead,Thriller| Crime,2023,"5,7"
Fifty Shades of Grey,Drama| Romance| Thriller,2015,"5,9"
Harry Potter and the Deathly Hallows: Part 2,Fantasy| Adventure,2011,"8,1"
The Help,Drama,2011,"8,2"
Monsters; Inc.,Animation| Comedy| Family,2001,"7,8"
The Ice Age Adventures of Buck Wild,Animation| Comedy| Adventure| Family,2022,"6,7"
Samaritan,Action| Crime| Science Fiction,2022,"6,8"
Godzilla vs. Kong,Action| Fantasy| Science Fiction,2021,"7,7"
Paradise City,Action| Crime| Thriller,2023,"5,8"
Shang-Chi and the Legend of the Ten Rings,Action| Adventure| Fantasy,2021,"7,6"
Zack Snyder's Justice League,Action| Adventure| Fantasy| Science Fiction,2021,"8,2"
Lightyear,Animation| Action| Adventure| Family| Science Fiction,2022,"7,1"
Ritual,Thriller,2022,"7,1"
Love at First Kiss,Romance| Comedy,2023,"6,2"
The Last Client,Thriller| Crime,2022,"7,6"
Suzume,Animation| Drama| Adventure| Fantasy,2023,"8,2"
Pirates of the Caribbean: At World's End,Adventure| Fantasy| Action,2007,"7,2"
King Shakir Recycle,Animation| Adventure| Family| Action| Comedy| Science Fiction,2022,"5,7"
The School for Good and Evil,Fantasy,2022,"7,2"
Monstrous,Horror| Mystery| Thriller,2022,6
Shrek 2,Animation| Family| Comedy| Fantasy| Adventure| Romance,2004,"7,2"
The Unbearable Weight of Massive Talent,Action| Comedy| Crime,2022,"6,8"
Fifty Shades Freed,Drama| Romance,2018,"6,7"
El tirabeque,Comedy,2022,3
